album_artist,album,track,title,artist,duration,catalog_date
,,,Huss&Hodn - Hochstapler,beatvadda,205.583673,2019-08-18
,,,RAP IM NATURDARM Vol.1 - Rohstoffe,beatvadda,5606.582813,2019-08-18
FloFilz,keineideeistneu,2,Keineideeistneu (Nas - No idea's original Remix),FloFilz,162.194286,2019-08-18
,True Indeed,12,True Indeed,Surreal and The Sound Providers,194.351020,2019-08-18
,Kosmos,01,Kosmos Intro,NohaBeats,152.032653,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,05/17,Slowy FloFilz 12Vince - Helge Schneider,Flowy x Flofliz x 12Vince,110.785306,2019-08-18
,,,I lost my wig in the eroscenter (2006),beatvadda,64.365714,2019-08-18
,Handful of dust,01/07,Freefall,ANTHM,228.336327,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,11/17,Slowy FloFilz 12Vince - 808 Bettwäsche,Flowy x Flofliz x 12Vince,166.164898,2019-08-18
Sinitus Tempo,Product of People,11/15,Cop N Kid,Sinitus Tempo,166.974694,2019-08-18
,Standard Translation,12,The Day Before,Question,203.258776,2019-08-18
,Christmas Stories,02/04,Brushed Away,FAVORMUSIK,216.424490,2019-08-18
brandon*,Dreamscape,5,Menina Sofisticado,brandon*,132.048980,2019-08-18
,,,eternityy,.sinh,85.152000,2019-08-18
,Chasing Rainbows,05,Winding Rhodes,Robot Orchestra,183.797551,2019-08-18
,Soft Focus,03,A Chance,Vanilla,178.991042,2019-08-18
Sinitus Tempo,Kill La Kill,3,Satsuki,Sinitus Tempo,174.288980,2019-08-18
,Illinoize,07,The Dress Looks Nice On You / Make You Feel That Way,Tor,226.351020,2019-08-18
,,,empty glasses,tajima hal,112.039184,2019-08-18
The Jazz Jousters,Calculation,09,Reference,Pawcut,126.432667,2019-08-18
,,,sun will shine.,aso.,196.493061,2019-08-18
,Soft Focus,18,Forgetful,Vanilla,78.053917,2019-08-18
,,,jazzchains,FloFilz,142.001633,2019-08-18
,,,saib x nymano- au bord de l'eau.,saib.,111.255510,2019-08-18
,Natural Relax,02,Natural Relax,Kenichiro Nishihara,175.804082,2019-08-18
Kariu the Gameboy,Don't let the Ape's Escape side A,,"R.I.P Brandon, Nostalgia Ft. Amin Campbell",Kariu The Gameboy Amin Campbell,214.128000,2019-08-18
,The Break of Dawn,03/11,Rainy Streets,Blue in Green,155.533061,2019-08-18
V.A.,Champloo Crates 2 : Samurai Soul,1,Love Shogun,Doktor Rheal,115.095510,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,02/17,Slowy FloFilz 12Vince - Showdown,Flowy x Flofliz x 12Vince,146.337959,2019-08-18
The Pharcyde,Labcabincalifornia,04/17,Runnin',The Pharcyde,304.744490,2019-08-18
,,,Lord Finesse / Hip 2 Da Game (mad Jazzy Remix),mad smoky,286.354286,2019-08-18
Slim the Chemist,Silence EP,06/12,LaRana,Slim the Chemist,225.515125,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,03/17,Slowy FloFilz 12Vince - Standupcomedy,Flowy x Flofliz x 12Vince,166.478367,2019-08-18
P.R,Introspection EP,6,Sunchild (Feat. Substantial & Funky DL),P.R,156.264490,2019-08-18
,,,yestrdays.,aso.,86.047347,2019-08-18
,Fellowship,,Green Tea!,Ascience,125.805711,2019-08-18
P.R,Introspection EP,3,Lost Then Found,P.R,118.360816,2019-08-18
,,,Goooochi,Wodoo Wolcan,193.332245,2019-08-18
Magnetic North & Taiyo Na,Home:Word (Deluxe Edition),13/15,Home:Word (feat. Sam Kang),Magnetic North & Taiyo Na,346.409833,2019-08-18
Magnetic North & Taiyo Na,Home:Word (Deluxe Edition),08/15,Cold (feat. Sam Kang),Magnetic North & Taiyo Na,259.892250,2019-08-18
Question & Freddie Joachim,Study Guide (Deluxe Version),10,Freddie Joachim - Shoulder Kiss,Question & Freddie Joachim,154.148571,2019-08-18
,,,Lovesick (1k),origamik.,128.026122,2019-08-18
,,,07 29 15 82,Justin de Guzman,196.832653,2019-08-18
The Jazz Jousters,Sugarcane,3,Always,Dr Dundiff,257.828571,2019-08-18
,,,愛密集 i miss you remix,Shing02 / Yakkle,220.473500,2019-08-18
Nujabes,Spiritual State,09,Rainyway Back Home,Nujabes,156.525750,2019-08-18
Illoquence & Rythmatical,D.E.A.T.H,9,Trails We Blazed,Illoquence & Rythmatical,251.245714,2019-08-18
Slim the Chemist,Silence EP,01/12,Where I'm From,Slim the Chemist,162.220417,2019-08-18
Blazo,Colors of Jazz 2,16/18,Last Sapphire,Blazo,214.674292,2019-08-18
,True Indeed,04,Push On,Surreal and The Sound Providers,258.847347,2019-08-18
,Jazz Sessions LP (2013),08/12,Son Of Peter,Stan Forebee,159.137959,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,04/17,Slowy FloFilz 12Vince - Atompilz,Flowy x Flofliz x 12Vince,159.059592,2019-08-18
ZenSupremacy,ZenSupremacy Vol. 1,12,.sinh - One More Night (ft. Namuuna),ZenSupremacy,82.128980,2019-08-18
,True Indeed,13,The Rundown,Surreal and The Sound Providers,132.388571,2019-08-18
DJ Ezasscul,Jazz Meditation Trilogy: Deluxe Edition,20/40,One Take,DJ Ezasscul,185.600000,2019-08-18
Blazo,Colors of Jazz,08/18,Smoky Grey,Blazo,206.132250,2019-08-18
Blazo,Colors of Jazz 2,06/18,Exotic Azure,Blazo,206.184500,2019-08-18
,,,Rainy Day,mad smoky,240.065306,2019-08-18
,Patiently,01/05,Hours,Freddie Joachim,117.446531,2019-08-18
Cunninlynguists,Will Rap for Food,02/18,Lynguistics,Cunninlynguists,147.226122,2019-08-18
Blazo,Colors of Jazz,02/18,Essential Violet,Blazo,156.238375,2019-08-18
,,,GreenChristmas,tajima hal,100.310204,2019-08-18
,,,The Sun God (Robot Orchestra Remix),Common,154.723275,2019-08-18
Ralph Myerz,Ralphorama!,12/20,My Darling (feat. Christine Sandtorv),Ralph Myerz,207.098792,2019-08-18
K-Murdock,The Ronin,03/07,The Wu-tang Joint,K-Murdock,134.060417,2019-08-18
,Soft Focus,08,AJFA,Vanilla,157.257167,2019-08-18
,,,Shinjuku Metro Line,saib.,104.829388,2019-08-18
Nujabes,Spiritual State,14,Island (featuring Uyama Hiroto & haruka nakamura),Nujabes,307.539625,2019-08-18
,For What It's Worth,19,Better With U,Vanilla,93.309417,2019-08-18
Blazo,Colors of Jazz,12/18,Double Silver,Blazo,297.273500,2019-08-18
,ROS - Rocking With Elegance,04/14,Bahama Mama,Kaleo,155.663708,2019-08-18
ElyonBeats,Mindless Beats,12/21,Her Broken Valentine,ElyonBeats,199.575542,2019-08-18
,True Indeed,08,Walk in the Park,Surreal and The Sound Providers,244.688980,2019-08-18
,Spring Love [2014],05/08,"If It Hadn't Been For You (Feat. Jeff Bernat, Substantial )",A June & J Beat,201.142857,2019-08-18
,Brief und Siegel,01/04,Brief und Siegel,SlOWY,157.518367,2019-08-18
,Adaptation,05/06,Cloud 9 (Feat. Manifest),MYK & Shirosky,203.937959,2019-08-18
,,,A jazz remix by WUN TWO,wun two,1236.453878,2019-08-18
,Spring Love [2014],02/08,Something Don't Feel Right (Feat. Richard Raw),A June & J Beat,174.027755,2019-08-18
ElyonBeats,Mindless Beats,20/21,A Mid Summer Night's Dream,ElyonBeats,283.010625,2019-08-18
Ljones,Soul Below,5,Jazz Technician,Ljones,185.626122,2019-08-18
Blazo,Colors of Jazz 2,18/18,Moon White,Blazo,189.596750,2019-08-18
Adhesive Wombat,Marsupial Madness,7,Feel the Jank (extended),Adhesive Wombat,196.832653,2019-08-18
,,,morning coffee.,saib.,152.398367,2019-08-18
,Soft Focus,14,Give You Everything,Vanilla,148.662875,2019-08-18
,For What It's Worth,17,Moonbeamz,Vanilla,130.351042,2019-08-18
Elyonbeats,My Cinderella,06,Felicity,Elyonbeats,215.301250,2019-08-18
,Looking Backwards: 2001-1998,03,The Field,The Sound Providers,222.328163,2019-08-18
,Jazz Sessions LP (2013),01/12,New Generation,Stan Forebee,118.465306,2019-08-18
Sinitus Tempo,Journey,6,Rapid Tide,Sinitus Tempo,179.304490,2019-08-18
,Dreamscape: Part 3,12/15,Black Shampoo,brandon*,191.059592,2019-08-18
Nomak,Recalm,05/14,Geishas In the Days (Shin-ski Remix) [feat. Pismo],Nomak,230.974708,2019-08-18
,For What It's Worth,11,DSR,Vanilla,147.722458,2019-08-18
,The Break of Dawn,11/11,Camellia (Bonus Track),Blue in Green,283.193469,2019-08-18
Sinitus Tempo,Caged Bird,02/16,Clipped Wings,Sinitus Tempo,134.243265,2019-08-18
,PEACELAND II,04,Mornings Child,Sinitus Tempo,229.067755,2019-08-18
,ROS - Rocking With Elegance,06/14,Coffee House,Kaleo,162.351042,2019-08-18
Freddie Joachim,Midway,03/26,Autumn Rain,Freddie Joachim,141.531429,2019-08-18
,The Change Up (Untapped Sounds),,Marie ft. Choice37 (prod. by Freddie Joachim),Freddie Joachim,214.047375,2019-08-18
,,,bridges,.sinh,112.822857,2019-08-18
Ljones,Soul Below,2,ArtOfficial Strawberries,Ljones,214.230204,2019-08-18
Vagabond Maurice,The Dragon Who Devoured the Moon [LP],12,[Bonus] Session 00 - One Day It'll All Make Sense (feat. K'hala Elizabeth & Leyone Tracks / cuts by Jezi the Dishwasha) [Prod. by The 45 King],Vagabond Maurice,192.078367,2019-08-18
Nujabes,Spiritual State,03,Gone Are The Days (featuring Uyama Hiroto),Nujabes,362.292250,2019-08-18
ElyonBeats,Journey,08/18,Lady Salvadora,ElyonBeats,225.645750,2019-08-18
,Quiet Confidence,09,I Belong to You,Rythmatical,163.892245,2019-08-18
Blazo,Colors of Jazz 2,12/18,Sharp Brown,Blazo,210.338000,2019-08-18
,,,Serendipity,FAVORMUSIK,260.702041,2019-08-18
Sinitus Tempo,Journey,5,Keepin' On ft. Substantial & Obii Say,Sinitus Tempo,230.138776,2019-08-18
,,,Tommy Gunz (Letsuo Remix),Letsuo,149.733878,2019-08-18
,,,smokin in a tree,tajima hal,253.805714,2019-08-18
Slim the Chemist,Silence EP,11/12,Antique Black,Slim the Chemist,201.169000,2019-08-18
DJ Sorama,Trebla LP,01/11,Shooting Stars (Tribute To Nujabes),DJ Sorama,146.050625,2019-08-18
Blazo,Colors of Jazz 2,04/18,Fresh Green,Blazo,186.044083,2019-08-18
,Beat Session Vol.1,,Drop,Elyonbeats,206.262875,2019-08-18
DJ Ezasscul,Melodic Therapy,12/18,Premonition,DJ Ezasscul,186.383708,2019-08-18
,Spiritual State,08,Yes (featuring Pase Rock),Nujabes,471.013878,2019-08-18
The Jazz Jousters,Calculation,07,Garden of Tjader,Gadget,195.082458,2019-08-18
,,,3分ドリル(Yakkle Remix),Shing02,218.723292,2019-08-18
Vanilla,Sweet Talk,19,Sweet Talk,Vanilla,170.840816,2019-08-18
,Champloo Crates : Samurai Soul,01/14,Bliss,Sinitus Tempo,175.360000,2019-08-18
,Overcast!,05/18,4:30 AM,Atmosphere,190.171429,2019-08-18
,True Indeed,09,Gifted,Surreal and The Sound Providers,286.746122,2019-08-18
Ljones,Soul Below,1,Introductions,Ljones,170.266122,2019-08-18
,her favorite colo(u)r,02/14,amnesia,blu,177.946122,2019-08-18
FloFilz,keineideeistneu,4,Rotblau (Nas - Purple Remix),FloFilz,217.861224,2019-08-18
,,,Cruisin',Tom Misch,116.035918,2019-08-18
BLEE,BLEE Project,06/11,Give it all you got featuring Soul Natural,BLEE,153.025306,2019-08-18
Ljones,Soul Below,8,Cruising Blue,Ljones,217.443265,2019-08-18
,,,One Be Lo / Rocketshop (mad Jazzy Remix),mad smoky,328.254694,2019-08-18
,Milestone,03,From Where The Love Came - feat. Emma Louise,Gadget & Lady Paradox,168.176327,2019-08-18
Blazo,Colors of Jazz,16/18,Through the Jazz,Blazo,242.233500,2019-08-18
Wax Tailor,Tales of the Forgotten Melodies,02/19,Que Sera,Wax Tailor,164.153500,2019-08-18
,,,Cacao (Edo Lee x Iota feat. Cam Smoot),Ξdo Lee,211.278367,2019-08-18
Sinitus Tempo,Journey,10,Wait and See,Sinitus Tempo,232.280816,2019-08-18
Blazo,Reflections,06/15,Dock Ellis feat. 49'ers,Blazo,242.677583,2019-08-18
,,,lost south,FloFilz,113.345306,2019-08-18
,Kosmos,11,Sky On My Eyes,NohaBeats,128.705306,2019-08-18
,ROS - Rocking With Elegance,02/14,A Lil Jazz In My Life,Kaleo,177.606542,2019-08-18
,,,Time Has Come,Slum Village x Question,179.748571,2019-08-18
Freddie Joachim,WAITING,5,Across The Sky,Freddie Joachim,146.128980,2019-08-18
,,1,Yeah Y'all (Ft. Roddy Rod and Kev Brown),DJ Mitsu the Beats,205.035102,2019-08-18
,,,Fuu's Bump,Chamere Minusone,200.150204,2019-08-18
Sinitus Tempo,Product of People,14/15,Pressure Ft. Elle Maxwell,Sinitus Tempo,154.984490,2019-08-18
Vanilla,Sweet Talk,11,Today,Vanilla,156.734694,2019-08-18
Joseph Jacobs,Better Frame of Mind,4,A Walk in the Snow,Joseph Jacobs,273.293061,2019-08-18
Joe Space & Drumtomski,Nudus Cactus,10,Coitus Per Os (Remix),Joe Space & Drumtomski,157.805714,2019-08-18
,,,Lift My Burden,FAVORMUSIK,142.550204,2019-08-18
,,,new york,mad smoky,129.306122,2019-08-18
blu & exile,give me my flowers while i can still smell them,01/17,a letter,blu & exile,95.947755,2019-08-18
,Lux DeVille,03/11,Happy,PVD,239.595102,2019-08-18
"Breezewax, Evan Awake",Prima Vista,5,Circle Of Transmigration,Evan Awake,255.294694,2019-08-18
,Dream State,07,Manuscript ft. Jun Chikuma,Sinitus Tempo,192.574694,2019-08-18
Sinitus Tempo,Journey,1,Bolivia,Sinitus Tempo,208.039184,2019-08-18
Blazo,Reflections,13/15,Pressure feat. 49'ers,Blazo,214.334708,2019-08-18
,,,Jazz Flava Lesson.3,mad smoky,4695.640813,2019-08-18
,,,saib. x mnd.bd - flavor of,saib.,112.431020,2019-08-18
Blazo,Colors of Jazz 2,05/18,Inspiration Gold,Blazo,243.800833,2019-08-18
,,,Hello Hummingbird (Original),Sam Ock,284.551837,2019-08-18
Nujabes,Spiritual State,06,Color of Autumn,Nujabes,103.889000,2019-08-18
,Fellowship,,Attitude,Rythmatical,152.764125,2019-08-18
ElyonBeats,Journey,07/18,Light on the Foreign Land,ElyonBeats,254.275958,2019-08-18
,Unreleased,,Easy,Question,139.520000,2019-08-18
,,,Letsuo - Sweet Baby Rays - A,Letsuo,123.585306,2019-08-18
DJ Ezasscul,Jazz Meditation Trilogy: Deluxe Edition,03/40,The Center,DJ Ezasscul,144.091458,2019-08-18
,Museum,16,Street Lights,ElyonBeats,251.167375,2019-08-18
Magnetic North & Taiyo Na,Home:Word (Deluxe Edition),02/15,It'll Work Out (feat. Sidney Outlaw),Magnetic North & Taiyo Na,285.126542,2019-08-18
,Jazz Sessions LP (2013),02/12,Awakening Of The Flowers,Stan Forebee,177.580408,2019-08-18
,,,Champ Magnétique,Shing02,243.513500,2019-08-18
,Tangerine Avenue,04,Vibe All Night,Strangers of Necessity,117.263673,2019-08-18
,Soul Store [B-SIDE],07/08,Dreamers (Feat.Z-O),A June & J Beat,174.027755,2019-08-18
,Soft Focus,12,Hanging Around,Vanilla,119.614708,2019-08-18
Elyonbeats,My Cinderella,01,Ms Sunshine,Elyonbeats,234.292250,2019-08-18
,Jazz Flava Lesson 3,01,"Pete Rock - Trumaster (DJ Four, One, One 3000 Beats Remix)",mad smoky,200.698776,2019-08-18
